Supplementary Table 1List of Classifier Genes;;;;;;;
;Gene symbol;Parametric P value;CV support (%);Geometric mean (log2 ratio in class 1);Geometric mean (log2 ratio in class 2);Ratio;Chromosomal location
138;PLAC8;0.0003352;100;2.3;6.47;0.36;4q21.22
139;ANXA3;0.0002974;100;3.34;6.06;0.55;4q13-q22
140;CDCA3;0.0002894;100;8.3;16.65;0.5;12p13
141;GPR35;0.0003212;100;3.26;6.23;0.52;2q37.3
142;PLA2G10;0.0003878;100;4.93;18.95;0.26;16p13.1-p12
143;GALNT12;0.0004242;96;1.9;4.23;0.45;9q22.33
144;WNK4;0.0004386;100;2.48;6.69;0.37;17q21-q22
145;EVI1;0.0004515;98;2.1;4.01;0.52;3q24-q28
146;LEMD1;0.0004187;100;28.77;105.72;0.27;1q32.1
147;PLAUR;0.0004512;100;1.89;3.49;0.54;19q13
148;CTHRC1;0.0004123;100;4.58;8.17;0.56;8q22.3
149;COL12A1;0.000436;100;2.27;4.38;0.52;6q12-q13
150;TOP2A;0.0004306;100;9.44;17.22;0.55;17q21-q22
151;KCNN4;0.0006333;93;3.94;12.15;0.32;19q13.2
152;TUFT1;0.0005077;100;2.91;4.52;0.64;1q21
153;HOXB7;0.0005198;100;7.14;18.81;0.38;17q21.3
154;BCL11B;0.0005385;100;1.96;3.14;0.62;14q32.2
155;MYOM3;0.0007207;82;2.66;5.14;0.52;1p36.11
156;CST6;0.0006506;87;2.85;8.78;0.32;11q13
157;KRT20;0.0006358;91;2.44;8.25;0.3;17q21.2
158;CLDN4;0.0006104;94;7.36;14.94;0.49;7q11.23
159;C1orf116;0.0006471;89;4.24;7.12;0.6;1q32.1
160;TTK;0.0006426;90;22.57;45.22;0.5;6q13-q21
161;AURKA;0.0006382;92;3.25;5.19;0.63;20q13.2-q13.3
162;SCEL;0.0006848;83;2.62;4.86;0.54;13q22
163;EPS8L1;0.0006661;84;4.53;8.73;0.52;19q13.42
164;KIF11;0.0006852;78;7.69;13.4;0.57;10q24.1
165;KIF15;0.0007712;76;11.81;24.78;0.48;3p21.31
166;GCNT3;0.0008445;65;4.12;8.83;0.47;15q21.3
167;NOX4;0.0007878;66;2.44;4.1;0.59;11q14.2-q21
168;SLC39A4;0.0007941;64;2.94;5.31;0.55;8q24.3
169;GALNT6;0.0008233;59;2;3.27;0.61;12q13
170;CCNB2;0.0007994;66;8.27;14.4;0.57;15q22.2
171;COL6A3;0.0008961;58;2.37;3.91;0.6;2q37
172;LAMC2;0.0008651;52;14.06;30.29;0.46;1q25-q31
173;DKK1;0.0009629;47;9.48;31.23;0.3;10q11.2
174;CTSL2;0.0008904;50;7.08;15.42;0.46;9q22.2
175;GJB4;0.0009991;44;3.45;7.37;0.47;1p34.3
176;HIST1H1C;0.0008892;62;3.26;1.92;1.7;6p21.3
177;SLC5A9;0.0008602;71;4.6;2.29;2;1p33
178;CRYBB2;0.0007377;75;3.56;2.11;1.69;22q11.2-q12.1|22q11.23
179;CLDN9;0.0007351;77;5.69;2.56;2.22;16p13.3
180;SMA4;0.0006846;81;3.3;1.96;1.69;5q13
181;UBD;0.0005445;100;5.18;2.88;1.8;6p21.3
182;VN1R1;0.0005996;89;13.42;6.13;2.19;19q13.4
183;PGBD5;0.0004749;100;4.68;2.66;1.76;1q42.13
184;PTPN14;0.0003083;100;5.49;3.29;1.67;1q32.2
185;OXTR;0.0002728;100;12.64;5.24;2.41;3p25
186;PTHLH;0.00028;100;4.1;1.93;2.13;12p12.1-p11.2
187;TCF2;0.0002788;100;3.89;2.21;1.76;17cen-q21.3
188;ZDHHC1;0.0002288;100;3.64;2.25;1.62;16q22.1
189;HIST1H4H;0.0002183;100;5.51;2.64;2.09;6p21.3
190;ABHD3;0.0002191;100;3.21;1.97;1.63;18q11.2
191;CRYM;0.0002023;100;3.47;1.84;1.88;16p13.11-p12.3
192;FAM59A;0.0001592;100;3.37;2.16;1.57;18q12.1
193;C1QL4;2.00E-04;100;8.19;2.77;2.96;12q13.12
194;TNFRSF12A;0.0001169;100;4.37;2.76;1.58;16p13.3
195;GGT6;0.0001818;100;8.53;3.56;2.39;17p13.2
196;ATP1A1;8.92E-05;100;3.7;2.24;1.65;1p21
197;SYT12;0.0001143;100;4.47;1.94;2.31;11q13.1
198;ANKRD1;8.31E-05;100;17.62;5.64;3.12;10q23.31
199;PAQR5;7.51E-05;100;17.43;7.12;2.45;15q23
200;PSPH;7.12E-05;100;4.3;2.39;1.79;7p15.2-p15.1
201;CTXN1;6.28E-05;100;4.21;2.33;1.81;19p13.2
202;SCTR;7.12E-05;100;7.5;2.66;2.82;2q14.1
203;FAM38B;4.75E-05;100;3.79;2.21;1.72;18p11.22
204;C9orf150;4.63E-05;100;3.6;2.04;1.77;9p23
205;PATZ1;4.90E-05;100;6.01;3.05;1.97;22q12.2
206;FGFR2;5.80E-05;100;4.41;1.88;2.35;10q26
207;CDH6;5.20E-05;100;4.58;1.73;2.65;5p15.1-p14
208;PKHD1;3.22E-05;100;6.99;2.54;2.75;6p12.2
209;DEFB1;2.78E-05;100;3.87;1.97;1.96;8p23.2-p23.1
210;MLH3;1.64E-05;100;4.92;2.84;1.73;14q24.3
211;KIAA0802;1.03E-05;100;3.77;2.1;1.79;18p11.22
212;CXCL6;1.07E-05;100;8.67;3.21;2.71;4q21
213;RGS4;4.90E-06;100;8.06;2.62;3.07;1q23.3
214;DBNDD1;4.10E-06;100;6.18;3.33;1.85;16q24.3
215;KCNF1;4.50E-06;100;7.97;2.97;2.68;2p25
216;VTCN1;6.90E-06;100;6.38;1.89;3.38;1p13.1
217;KRT23;3.50E-06;100;52.84;12.31;4.29;17q21.2
218;NME5;6.20E-06;100;5.68;2.01;2.83;5q31
219;HKDC1;2.30E-06;100;10.1;4.86;2.08;10q21.3
220;MPP6;2.40E-06;100;3.58;1.69;2.12;7p15
221;SLC4A3;1.50E-06;100;16;4.56;3.51;2q36
222;C10orf132;1.00E-06;100;13.47;4.46;3.02;10q24.2
223;TMEM156;8.00E-07;100;9.67;3.15;3.07;4p14
224;RGS14;4.00E-07;100;3.89;2.09;1.86;5q35.3
225;VEPH1;6.00E-07;100;10.42;3.01;3.46;3q24-q25
226;GMNN;2.00E-07;100;6.96;2.59;2.69;6p22.2
227;SPP1;2.00E-07;100;6.72;2.94;2.29;4q21-q25
228;FLJ23861;3.00E-07;100;3.79;1.62;2.34;2q34
229;LOXL4;<1e-07;100;5.94;2.37;2.5;10q24
230;CSPP1;<1e-07;100;3.99;1.48;2.7;8q13.2
231;WNK2;2.00E-07;100;6.01;2.12;2.83;9q22.3
232;NUAK2;<1e-07;100;7.77;2.71;2.87;1q32.1
233;ITIH5;<1e-07;100;9.26;1.82;5.08;10p14
234;MCCC2;<1e-07;100;4.53;2.21;2.05;5q12-q13
235;GAL3ST1;<1e-07;100;12.77;2.65;4.82;22q12.2
236;SMYD2;<1e-07;100;3.81;1.66;2.3;1q41
237;DCDC2;<1e-07;100;19.64;3.06;6.42;6p22.1
238;LPGAT1;<1e-07;100;3.57;1.5;2.37;1q32
